book_id,user_id,rating
1180,1,4
8034,2,4
9049,3,1
3273,4,2
6646,5,4
8033,6,5
1199,7,4
8312,8,5
4394,9,3
1506,10,4
9606,11,3
9059,12,4
9984,13,4
5495,14,4
8842,15,3
6160,16,4
4054,18,5
6234,19,4
8689,20,5
8946,21,4
3544,22,4
7545,23,2
2320,24,3
9664,25,5
5792,26,3
5674,27,4
6195,28,3
5699,29,4
9017,30,4
6634,31,4
6177,32,4
6206,33,4
8673,34,3
386,35,3
1451,36,4
8485,37,4
8336,38,5
9078,39,5
2707,40,4
5504,41,4
6772,42,5
9111,43,4
9600,44,3
8868,46,5
5305,47,3
5730,48,5
9187,49,4
7501,50,3
8188,51,5
6033,52,4
8336,53,1
8370,54,4
7462,55,5
8580,56,5
4623,57,3
5994,58,4
5730,59,4
9671,60,5
6327,61,3
8696,62,4
5730,63,3
9005,64,4
8175,65,4
7639,66,5
7400,67,3
9858,68,3
4477,69,4
9473,70,3
5495,71,4
8218,72,1
3761,73,4
5730,74,3
164,75,3
1180,76,4
8882,77,3
5730,78,3
4120,79,3
8946,80,3
5792,81,3
8873,82,3
8836,83,5
6449,84,3
5397,85,3
6160,86,4
9201,87,2
9632,88,5
2741,89,3
7329,90,5
8882,91,4
9203,92,3
9575,93,3
7639,94,4
2833,95,5
4729,96,4
5820,97,4
7974,98,4
8176,99,3
6160,100,4
5787,101,4
6367,102,2
9582,103,3
8994,104,4
6797,105,4
8946,106,5
7070,107,4
9442,108,3
2867,109,3
8336,110,5
8401,111,4
9533,112,5
6079,113,3
8882,114,5
5571,115,3
9268,116,4
8336,117,5
3502,118,3
3553,119,4
9720,120,5
8353,121,4
5851,122,2
3931,123,5
1206,124,5
3331,125,5
5495,126,3
8517,127,5
7963,128,2
4664,129,3
3591,130,1
8336,131,2
8064,132,5
2744,133,5
8553,134,4
6798,135,4
9222,136,5
6359,137,3
8322,138,4
7963,139,5
3222,140,5
7172,141,5
4843,142,4
6090,143,5
6265,144,3
2747,145,3
8439,146,2
7639,147,5
4318,148,3
7886,149,3
8752,150,4
4366,151,3
4225,152,5
2736,153,2
7022,154,4
6772,155,4
4699,156,4
7537,157,5
439,158,3
7639,159,3
8882,160,4
9495,161,4
9934,162,4
3471,163,3
3294,164,4
8858,165,3
4998,166,4
8687,167,4
9905,168,3
7090,169,4
9927,170,4
8390,171,5
2388,172,4
1136,173,3
5918,174,3
6704,175,4
6160,176,5
7916,177,3
3433,178,2
8051,179,4
4545,180,3
4097,181,4
9193,182,4
9178,183,3
6124,184,4
7046,185,4
5422,186,5
8084,187,4
5616,188,2
3224,189,4
5495,190,5
9191,191,4
5646,192,5
7272,193,5
1146,194,5
6384,195,3
9357,196,4
9858,197,5
9551,198,4
7931,199,5
5762,200,4
8375,201,3
2019,202,5
9171,203,4
3124,204,4
7651,205,4
3505,206,5
8093,207,3
5034,208,3
8543,209,3
5730,210,4
8613,211,4
9304,212,3
5031,213,3
9563,214,4
6551,215,4
6965,216,3
5192,217,3
7770,218,3
3048,219,4
4173,220,4
7117,221,3
9425,222,4
8779,223,4
2231,224,5
9551,225,5
4640,226,5
9458,227,2
3540,228,3
6552,229,3
4538,230,3
6626,231,4
8654,232,4
524,233,5
7893,234,4
9274,235,3
8499,236,4
4769,237,5
8336,238,5
6046,239,4
7654,240,5
7726,241,3
4640,242,4
9566,243,4
7026,244,2
6029,245,4
8588,246,4
2809,247,3
9185,248,4
7449,249,3
8669,250,5
5207,251,5
9094,252,3
6257,253,3
8837,254,3
7715,255,4
1482,256,3
7810,257,4
7856,258,5
6260,259,5
8748,260,3
4936,261,1
5416,262,2
6148,263,1
8946,264,5
7890,265,3
8258,266,4
8671,267,3
7211,268,4
8519,269,3
4763,270,4
8605,271,5
9478,272,3
9745,273,4
6389,274,5
8295,275,4
9455,276,3
4718,277,5
9718,278,2
8592,279,3
9503,280,4
7025,281,3
5206,282,3
6285,283,5
4025,284,4
7889,285,4
7453,286,2
3200,287,5
8456,288,3
9438,289,5
904,290,2
9238,291,4
8235,292,2
9905,293,4
6227,294,4
7968,295,3
8334,296,4
6603,297,3
6062,298,4
8815,299,3
8882,300,3
8555,301,4
7242,302,4
5514,303,4
9473,304,4
6961,305,3
2499,306,3
9116,307,2
6468,308,3
6997,309,4
7133,310,4
8653,311,4
7025,312,3
6781,313,4
51,314,2
3987,315,2
9374,316,5
6964,317,1
9544,318,3
7886,319,4
8035,320,5
1624,321,4
8760,322,3
8066,323,5
3352,324,4
4103,325,5
9637,326,4
8227,327,2
7842,328,3
3915,329,4
8882,330,3
9114,331,5
3753,332,4
6160,333,5
6962,334,3
932,335,4
8299,336,5
9648,337,3
5792,338,4
4958,339,4
9251,340,2
4686,341,3
8870,342,5
1515,343,4
6060,344,4
8457,345,3
8529,346,4
8233,347,5
9718,348,2
900,349,5
8485,350,4
5553,351,4
3547,352,3
7939,353,4
9858,354,3
8403,355,4
5203,356,3
8902,357,5
4563,358,3
7974,359,5
3379,360,3
5840,361,3
6413,362,3
3620,363,3
7881,364,3
5091,365,5
10000,366,4
3903,367,3
758,368,2
7548,369,4
9407,370,4
8653,371,2
4117,372,3
9595,373,5
7784,374,4
6168,375,3
9857,376,2
3659,377,3
2982,378,5
8336,379,3
6913,380,1
3128,381,5
8209,382,4
9371,383,4
5159,384,3
9772,385,3
8946,386,5
5967,387,2
9585,388,4
1444,389,4
3471,390,4
9840,391,4
6631,392,4
6125,393,3
7066,394,4
2566,395,4
2436,396,3
6898,397,5
1926,398,4
3785,399,5
6604,400,4
4953,401,4
9299,402,3
843,403,4
8233,404,5
2829,405,4
7783,406,5
279,407,3
9432,408,3
8601,409,2
7129,410,1
5730,411,5
7771,412,4
1926,413,5
5495,414,3
8290,415,5
1080,416,3
3062,417,3
8882,418,5
2166,419,4
8801,420,2
8974,421,4
2872,422,4
8355,423,4
1114,424,4
4234,425,4
8384,426,5
7649,427,4
8848,428,5
2205,429,4
5150,430,4
3149,431,1
3211,432,3
9659,433,4
7193,434,4
7028,435,4
5702,436,4
6893,437,5
9375,438,2
3997,439,3
5286,440,2
9833,441,4
9551,442,5
5050,443,3
3785,444,4
8690,445,3
1457,446,5
7284,447,3
7735,448,4
7852,449,5
5011,450,4
7363,451,4
3811,452,4
3930,453,3
4872,454,4
9716,455,5
2220,456,3
8977,457,4
5150,458,3
4781,459,4
5660,460,5
5385,461,1
3160,462,4
1315,463,3
9473,464,3
6603,465,5
7052,466,3
1395,467,3
3556,468,4
6255,469,3
5849,470,3
6658,471,3
2767,472,2
5394,473,3
4344,474,5
3310,475,4
5385,476,3
8519,477,5
6085,478,3
5134,479,4
6712,480,5
8375,481,5
6548,482,5
6327,483,4
5024,484,5
8249,485,5
3310,486,4
7400,487,3
6777,488,3
9240,489,3
5330,490,3
775,491,4
9712,492,3
4080,493,4
3794,494,3
5881,495,5
9186,496,5
7810,497,3
7440,498,5
2290,499,5
7029,500,4
6868,501,4
9575,502,3
4879,503,3
6089,504,5
9235,505,4
9024,506,3
6659,507,5
8861,508,5
8323,509,4
9542,510,3
1180,511,5
6445,512,4
2015,513,2
6984,514,2
9563,515,4
7026,516,4
9782,517,3
7072,518,4
7601,519,3
5914,520,3
9949,521,3
6603,522,3
9554,523,4
6401,524,5
6937,525,4
2290,526,4
8285,527,4
2837,528,3
4874,529,4
9647,530,3
6675,531,5
5202,532,4
8367,533,4
3525,534,3
9172,535,4
8492,536,4
7180,537,4
6885,538,3
8704,539,4
5198,540,3
3499,541,5
8160,542,5
2743,543,5
5828,544,3
8754,545,3
5027,546,3
3149,547,3
4484,548,5
9432,549,5
4731,550,3
8698,551,4
9590,552,3
9720,553,4
4891,554,4
9236,555,4
7022,556,4
5232,557,4
7566,558,2
1270,559,4
5664,560,4
5495,561,4
6487,562,5
2462,564,3
6095,565,4
3308,566,5
1558,567,1
4081,568,4
9768,569,4
5312,570,5
3638,571,5
6730,572,3
4471,573,3
6012,574,3
5559,575,4
5104,576,3
9506,577,3
4081,578,2
5280,579,2
9432,580,3
8736,581,3
8409,582,2
7404,583,4
5851,584,2
8692,585,3
9226,586,5
6677,587,3
663,588,3
816,589,2
8795,590,4
7607,591,4
4335,592,4
6927,593,4
4769,594,2
4356,595,4
8943,596,3
4543,597,4
